trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,9,-13.245631062948458,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-35.56633377244602,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,9,-55.01988126549527,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-128.89626491980638,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-113.76802326654314,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-108.76319516648998,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-53.37007527463157,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",35,0,-218.3802672325641,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,17,-53.883476779044926,"{0: 5, 1: 0, 2: 0, 3: 3, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",25,0,-59.57447172177287,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-171.6943205301154,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,0,-138.32977502055064,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-74.6306982147613,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,6,-80.01936905614492,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,8,-57.421244716765244,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-56.14734014892011,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,0,-63.34304770221099,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-21.137603281918825,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-135.21224752716466,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-180.03310625784107,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-128.06993666569315,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-44.31912982408631,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,0,-154.71022834025382,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
